"","id","loc","start","dura","provider","dname","type","pktsize","numreq","NA","countDummy"
"1",11000752,"东中院二区",1411439886390,14799,"百度1","baidu.com","搜索导航",2182,2,"东中院二区",1
"2",11000752,"东中院二区",1411442145178,203010,"网易","163.com","门户",261571,39,"东中院二区",1
"3",11000752,"东中院二区",1411442145178,203010,"百度1","baidu.com","搜索导航",172538,33,"东中院二区",1
"4",11000752,"东中院二区",1411442145178,203010,"谷歌广告1","doubleclick.net","广告",34719,5,"东中院二区",1
"5",11000752,"东中院二区",1411442145178,203010,"126网易免费邮箱","126.com","电子邮箱",33058,5,"东中院二区",1
"6",11000752,"东中院二区",1411442145178,203010,"谷歌分析","google-analytics.com","数码科技",18386,2,"东中院二区",1
"7",11000752,"东中院二区",1411442145178,203010,"谷歌链接","googlesyndication.com","搜索导航",12952,2,"东中院二区",1
"8",11000752,"东中院二区",1411442145178,203010,"谷歌搜索2","google.com","搜索导航",1668,1,"东中院二区",1
"9",11000752,"东中院二区",1411442145178,203010,"个性化谷歌广告","gstatic.com","广告",1428,1,"东中院二区",1
"10",11000752,"东中院二区",1411442145178,203010,"126邮箱","126.com","电子邮箱",700,1,"东中院二区",1
"11",11000752,"东中院二区",1411442145178,203010,"网易3","netease.com","门户",437,1,"东中院二区",1
"12",11000752,"东中院三区",1411442842421,0,"腾讯微信","qq.com","即时通讯",395,1,"东中院三区",1
"13",11000752,"学生事务中心-铁生馆",1411443156277,6523,"百度1","baidu.com","搜索导航",15887,2,"学生事务中心-铁生馆",1
"14",11000752,"学生宿舍W",1411573440149,55,"腾讯微信","qq.com","即时通讯",1150,1,"学生宿舍W",1
"15",11000752,"东中院二区",1411956941699,335969,"百度1","baidu.com","搜索导航",248455,88,"东中院二区",1
"16",11000752,"东中院二区",1411956941699,335969,"携程","c-ctrip.com","旅游",132759,29,"东中院二区",1
"17",11000752,"东中院二区",1411956941699,335969,"携程","ctrip.com","旅游",107146,13,"东中院二区",1
