"","id","loc","start","dura","provider","dname","type","pktsize","numreq","countDummy"
"144",11000752,"东上院",1415180195500,29395,"百度1","baidu.com","搜索导航",2716,4,1
"2032",11001313,"东上院",1420518847989,383,"苹果官网1","apple.com","网上购物",7267,1,1
"2333",11003224,"东上院",1415790139482,19158,"淘宝网","taobao.com","网上购物",2850,2,1
"2334",11003224,"东上院",1415792211375,4933,"淘宝网","taobao.com","网上购物",2838,2,1
"2335",11003224,"东上院",1415793963753,617121,"腾讯微信","qq.com","即时通讯",13898,7,1
"2336",11003224,"东上院",1415793963753,617121,"淘宝网","taobao.com","网上购物",2842,2,1
"2337",11003224,"东上院",1415795349482,668373,"腾讯微信","qq.com","即时通讯",19706,12,1
"2338",11003224,"东上院",1415858208211,1384000,"淘宝图片服务器1","taobaocdn.com","图片服务",149023,1,1
"2339",11003224,"东上院",1415858208211,1384000,"腾讯微信","qq.com","即时通讯",71784,29,1
"2340",11003224,"东上院",1415858208211,1384000,"Tanx广告管理系统","mmcdn.cn","数码科技",51292,1,1
"2341",11003224,"东上院",1415858208211,1384000,"Apple Store","apple.com","网上购物",25904,1,1
"2342",11003224,"东上院",1415858208211,1384000,"腾讯图片服务器1","gtimg.cn","图片服务",14582,1,1
"2343",11003224,"东上院",1415858208211,1384000,"腾讯网","qq.com","门户",9966,3,1
"2344",11003224,"东上院",1415858208211,1384000,"淘宝网","taobao.com","网上购物",3618,2,1
"2345",11003224,"东上院",1415858208211,1384000,"苹果官网1","apple.com","网上购物",3052,2,1
"2346",11003224,"东上院",1415862065541,337983,"苹果官网1","cdn-apple.com","网上购物",481861,33,1
"2347",11003224,"东上院",1415862065541,337983,"苹果官网1","apple.com","网上购物",478347,72,1
"2348",11003224,"东上院",1415862065541,337983,"腾讯网","qq.com","门户",36060,4,1
"2349",11003224,"东上院",1415862065541,337983,"百度1","baidu.com","搜索导航",16693,1,1
"2350",11003224,"东上院",1415862065541,337983,"安全网站证书","verisign.com","移动软件",2516,1,1
"2351",11003224,"东上院",1415862790849,35108,"苹果官网1","apple.com","网上购物",7268,1,1
"2352",11003224,"东上院",1415862790849,35108,"腾讯微信","qq.com","即时通讯",3706,4,1
"2353",11003224,"东上院",1415863253585,193,"腾讯微信","qq.com","即时通讯",606,1,1
"2433",11003224,"东上院",1420001404746,44456,"淘宝网","taobao.com","网上购物",65435,21,1
"2434",11003224,"东上院",1420001404746,44456,"淘宝图片服务器1","taobaocdn.com","图片服务",56310,4,1
"2435",11003224,"东上院",1420001404746,44456,"苹果官网1","apple.com","网上购物",615,1,1
"2436",11003224,"东上院",1420001781221,70,"腾讯微信","qq.com","即时通讯",5559,2,1
"2437",11003224,"东上院",1420002238282,547014,"苹果官网1","apple.com","网上购物",7268,1,1
"2438",11003224,"东上院",1420002238282,547014,"腾讯微信","qq.com","即时通讯",3566,3,1
"2439",11003224,"东上院",1420002238282,547014,"360安全卫士1","360.cn","移动软件",1289,1,1
"2440",11003224,"东上院",1420004122749,241140,"百度1","baidu.com","搜索导航",817233,254,1
"2441",11003224,"东上院",1420004122749,241140,"新浪图片服务器1","sinaimg.cn","图片服务",606515,3,1
"2442",11003224,"东上院",1420004122749,241140,"新浪网2","sina.com.cn","门户",43761,13,1
"2443",11003224,"东上院",1420004122749,241140,"谷歌分析","google-analytics.com","数码科技",28675,2,1
"2444",11003224,"东上院",1420004122749,241140,"新浪博客2","sina.cn","主页博客",21690,4,1
"2445",11003224,"东上院",1420004122749,241140,"淘宝图片服务器1","taobaocdn.com","图片服务",17676,2,1
"2446",11003224,"东上院",1420004122749,241140,"苹果官网2","mzstatic.com","网上购物",5572,1,1
"2447",11003224,"东上院",1420004122749,241140,"淘宝网","taobao.com","网上购物",5049,1,1
"2448",11003224,"东上院",1420004122749,241140,"新华网1","xinhuanet.com","门户",4836,4,1
"2449",11003224,"东上院",1420004122749,241140,"百度无线图片服务器3","baidu-img.cn","图片服务",4548,1,1
"2450",11003224,"东上院",1420004122749,241140,"腾讯微信","qq.com","即时通讯",3203,2,1
"2451",11003224,"东上院",1420004787607,259,"腾讯微信","qq.com","即时通讯",4304,3,1
"2452",11003224,"东上院",1420005110810,35496,"百度1","baidu.com","搜索导航",354002,132,1
