"","null","东上院","东下院","东中院一区","东中院三区","东中院二区","东中院四区","伍威权堂","光彪楼","农学生物学院-附楼一","农学生物学院-附楼三","农学生物学院-附楼二","凯旋门-待定","分析测试中心1号楼","分析测试中心2号楼","包玉刚图书馆","图书馆四区","基建处","外语楼","媒体与设计实验室A楼","媒体与设计实验室B楼","学生事务中心-铁生馆","学生宿舍","学生宿舍D","学生宿舍W","学生宿舍X","学生服务中心","工程力学实验中心","建筑馆","徐汇体育馆","徐汇新上院","文选医学楼","新体育馆-近沧源路","机械与动力工程学院","材料A楼","校医院北楼","校医院南楼","棒球场","电信群楼1号楼","程及美术馆","第一食堂","第三食堂","第二食堂","第四食堂","老行政楼","药学楼1号楼","药学楼4号楼","菁菁堂","西下院","西中院","西南体育馆-南体","逸夫科技楼","陈瑞球北楼","陈瑞球楼"
"null",9,0,3,0,1,0,0,0,0,0,3,5,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,6,24,2,0,0,0,0,1,1,0,0,0,0,0
"东上院",1,25,0,0,1,0,2,4,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,2,1,0,1,6,2,0,0,0,0,1,0,0,1,2,12,0,1,0,0,4,0,0,0,0,0,0
"东下院",5,1,55,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,29,4,1,0,1,0,0,0,0,0,3,2,1
"东中院一区",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"东中院三区",0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"东中院二区",1,5,2,1,0,22,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,1,3,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,5,4,0,0,0,0,1,0,0,0,0,1,0
"东中院四区",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"伍威权堂",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"光彪楼",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"农学生物学院-附楼一",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"农学生物学院-附楼三",0,9,1,0,0,1,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,6,1,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0
"农学生物学院-附楼二",2,6,0,0,0,0,2,1,0,2,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,1,0,0,0
"凯旋门-待定",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"分析测试中心1号楼",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"分析测试中心2号楼",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"包玉刚图书馆",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"图书馆四区",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"基建处",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"外语楼",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0
"媒体与设计实验室A楼",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
